"CFRP HS 160 T700						",Composite,,,,,,,,,,,
E1,E2,E3,Poisson12,Poisson13,Poisson23,G12,G13,G23,rho,CTE11,CTE22,CTE33
109000,8819,8819,0.342,0.342,0.38,4315,4315,3200,1.80E-09,-1.00E-07,2.60E-05,2.60E-05
