"Araldite AV 138					",,,,,,,,,,,
E,Poisson,G1,G2,Nominal Stress Normal Mode,Nominal Stress First Mode,Nominal Stress Second Mode,GIc,GIIc,GIIIc,rho,CTE
4890,0.3,1560,1560,39.45,30.2,30.2,0.2,0.38,0.38,1.70E-09,6.70E-05
