"MEJA Paste					",,,,,,,,,,,
E,Poisson,G1,G2,Nominal Stress Normal Mode,Nominal Stress First Mode,Nominal Stress Second Mode,GIc,GIIc,GIIIc,rho,CTE
1850,0.4,560,560,21.63,17.9,17.9,0.43,4.7,4.7,1.40E-09,1.20E-04
