"Araldite AV 138					",,,,,,,,,,,
E,Poisson,G1,G2,Nominal Stress Normal Mode,Nominal Stress First Mode,Nominal Stress Second Mode,GIc,GIIc,GIIIc,rho,CTE
4890,0.3,30.2,30.2,41,30.2,30.2,0.35,4.91,4.91,1.70E-09,6.70E-05
