"MEJA Film					",,,,,,,,,,,
E,Poisson,G1,G2,Nominal Stress Normal Mode,Nominal Stress First Mode,Nominal Stress Second Mode,GIc,GIIc,GIIIc,rho,CTE
1520,0.33,567.86,567.86,46.93,46.86,46.86,2,4,4,1.27E-09,9.00E-05
