"3M AF 163-2k					",,,,,,,,,,,
E,Poisson,G1,G2,Nominal Stress Normal Mode,Nominal Stress First Mode,Nominal Stress Second Mode,GIc,GIIc,GIIIc,rho,CTE
1520,0.33,567.86,567.86,46.93,46.86,46.86,4.05,9.77,9.77,1.27E-09,9.00E-05
